time,open,high,low,close,tick_volume,spread,real_volume
2023-01-31 13:00:00,1.08221,1.08375,1.08208,1.08352,21903,5,3285450000
2023-01-31 14:00:00,1.08352,1.08381,1.08249,1.08253,22995,5,3449250000
2023-01-31 15:00:00,1.08255,1.08625,1.08254,1.08504,29920,5,4488000000
2023-01-31 16:00:00,1.08504,1.08638,1.08424,1.08468,31641,5,4746150000
2023-01-31 17:00:00,1.08464,1.08619,1.08328,1.08595,33433,5,5014950000
2023-01-31 18:00:00,1.08594,1.0867,1.08527,1.08563,29293,5,4393950000
2023-01-31 19:00:00,1.08563,1.08656,1.085,1.08644,22578,5,3386700000
2023-01-31 20:00:00,1.08644,1.08744,1.0864,1.08716,19348,5,2902200000
2023-01-31 21:00:00,1.08716,1.08735,1.08624,1.08634,17852,5,2677800000
2023-01-31 22:00:00,1.08636,1.08721,1.08592,1.08711,20862,13,3129300000
2023-01-31 23:00:00,1.0871,1.08716,1.0860400000000001,1.08616,11335,18,1700250000
2023-02-01 00:00:00,1.08605,1.08641,1.08595,1.08596,1942,20,291300000
2023-02-01 01:00:00,1.08596,1.08647,1.08596,1.08598,7416,19,1112400000
2023-02-01 02:00:00,1.08598,1.08635,1.08577,1.08616,11548,13,1732200000
2023-02-01 03:00:00,1.08616,1.0863,1.08563,1.08565,14121,13,2118150000
2023-02-01 04:00:00,1.08565,1.08566,1.08515,1.08532,12798,13,1919700000
2023-02-01 05:00:00,1.08532,1.08621,1.08518,1.0862,11189,13,1678350000
2023-02-01 06:00:00,1.0862,1.08682,1.08619,1.08651,11873,13,1780950000
2023-02-01 07:00:00,1.08651,1.08743,1.08648,1.08709,11873,5,1780950000
2023-02-01 08:00:00,1.08709,1.08762,1.0865,1.08687,15336,5,2300400000
2023-02-01 09:00:00,1.08688,1.0883,1.08659,1.08793,22235,5,3335250000
2023-02-01 10:00:00,1.08793,1.0888,1.08689,1.08867,24876,5,3731400000
2023-02-01 11:00:00,1.08867,1.08879,1.08779,1.08828,22739,5,3410850000
2023-02-01 12:00:00,1.08828,1.08935,1.0878700000000001,1.08915,21245,5,3186750000
2023-02-01 13:00:00,1.08915,1.08965,1.08879,1.08918,19505,5,2925750000
2023-02-01 14:00:00,1.08918,1.08971,1.08874,1.08908,18745,5,2811750000
2023-02-01 15:00:00,1.0890900000000001,1.09094,1.08875,1.09033,27171,5,4075650000
2023-02-01 16:00:00,1.09033,1.09104,1.09006,1.09035,28572,5,4285800000
2023-02-01 17:00:00,1.09039,1.09243,1.08879,1.0919,32923,5,4938450000
2023-02-01 18:00:00,1.0919,1.09235,1.09135,1.09158,27822,5,4173300000
2023-02-01 19:00:00,1.09158,1.09182,1.0904,1.09071,23335,5,3500250000
2023-02-01 20:00:00,1.09071,1.09202,1.09055,1.09158,21749,5,3262350000
2023-02-01 21:00:00,1.09158,1.0985,1.08877,1.0977,37452,6,5617800000
2023-02-01 22:00:00,1.09772,1.10008,1.09688,1.09873,32366,13,4854900000
2023-02-01 23:00:00,1.09871,1.09898,1.09824,1.09881,17347,18,2602050000
2023-02-02 00:00:00,1.09881,1.09897,1.09847,1.09872,3726,19,558900000
2023-02-02 01:00:00,1.09872,1.10322,1.09868,1.10119,16584,19,2487600000
2023-02-02 02:00:00,1.10119,1.10261,1.10099,1.10182,21210,13,3181500000
2023-02-02 03:00:00,1.10182,1.10205,1.10056,1.10128,23221,13,3483150000
2023-02-02 04:00:00,1.10128,1.1020699999999999,1.10114,1.10181,21515,13,3227250000
2023-02-02 05:00:00,1.10181,1.102,1.1014,1.10171,17959,13,2693850000
2023-02-02 06:00:00,1.10171,1.10249,1.10155,1.10191,14590,13,2188500000
2023-02-02 07:00:00,1.10191,1.10242,1.10184,1.10195,18295,5,2744250000
2023-02-02 08:00:00,1.10195,1.10213,1.10039,1.10046,20851,5,3127650000
2023-02-02 09:00:00,1.10046,1.10145,1.09907,1.0993,25659,5,3848850000
2023-02-02 10:00:00,1.09929,1.10101,1.09911,1.10043,29518,5,4427700000
2023-02-02 11:00:00,1.10048,1.10057,1.09883,1.09979,28067,5,4210050000
2023-02-02 12:00:00,1.09981,1.09996,1.09799,1.09824,25593,5,3838950000
2023-02-02 13:00:00,1.09823,1.10015,1.09816,1.09983,24883,5,3732450000
2023-02-02 14:00:00,1.09983,1.10036,1.09819,1.09835,35971,5,5395650000
2023-02-02 15:00:00,1.09835,1.10035,1.09435,1.09449,37553,5,5632950000
2023-02-02 16:00:00,1.0945,1.09662,1.09043,1.09048,34885,5,5232750000
2023-02-02 17:00:00,1.09048,1.09388,1.08849,1.09361,34488,5,5173200000
2023-02-02 18:00:00,1.09361,1.09482,1.09065,1.09164,32695,5,4904250000
2023-02-02 19:00:00,1.09165,1.09264,1.09051,1.09079,28769,5,4315350000
2023-02-02 20:00:00,1.09079,1.09222,1.09073,1.09187,26122,5,3918300000
2023-02-02 21:00:00,1.09187,1.09219,1.09046,1.09073,29760,5,4464000000
2023-02-02 22:00:00,1.09073,1.0914,1.09048,1.09129,29788,13,4468200000
2023-02-02 23:00:00,1.09129,1.0915300000000001,1.09073,1.09089,20030,18,3004500000
2023-02-03 00:00:00,1.09089,1.09098,1.0906,1.09076,2045,19,306750000
2023-02-03 01:00:00,1.09076,1.09105,1.09036,1.09038,8565,19,1284750000
2023-02-03 02:00:00,1.09038,1.09046,1.08916,1.08968,13669,13,2050350000
2023-02-03 03:00:00,1.08968,1.0899,1.08904,1.08932,15576,13,2336400000
2023-02-03 04:00:00,1.08932,1.08954,1.08872,1.08888,14577,13,2186550000
2023-02-03 05:00:00,1.08888,1.08952,1.08887,1.08933,10835,13,1625250000
2023-02-03 06:00:00,1.08932,1.0894,1.08865,1.08926,9113,13,1366950000
2023-02-03 07:00:00,1.08926,1.08981,1.08893,1.08931,11680,5,1752000000
2023-02-03 08:00:00,1.08931,1.08995,1.0891,1.08976,12330,5,1849500000
2023-02-03 09:00:00,1.08976,1.09053,1.08814,1.08988,21654,5,3248100000
2023-02-03 10:00:00,1.08991,1.09071,1.0884,1.09029,23047,5,3457050000
2023-02-03 11:00:00,1.09029,1.09304,1.08931,1.09295,21295,5,3194250000
2023-02-03 12:00:00,1.09294,1.09361,1.09244,1.09344,18860,5,2829000000
2023-02-03 13:00:00,1.09344,1.09368,1.09239,1.09285,17333,5,2599950000
2023-02-03 14:00:00,1.09285,1.09365,1.09253,1.0932,18533,5,2779950000
2023-02-03 15:00:00,1.09318,1.09394,1.08258,1.08391,41355,5,6203250000
2023-02-03 16:00:00,1.08391,1.08707,1.08321,1.08634,33312,5,4996800000
2023-02-03 17:00:00,1.0854,1.08756,1.08086,1.08576,34343,5,5151450000
2023-02-03 18:00:00,1.08578,1.08609,1.08227,1.08243,29945,5,4491750000
2023-02-03 19:00:00,1.08244,1.08365,1.08217,1.08239,23540,5,3531000000
2023-02-03 20:00:00,1.08238,1.08241,1.08051,1.08112,25578,5,3836700000
2023-02-03 21:00:00,1.08112,1.08142,1.08013,1.0804,22657,5,3398550000
2023-02-03 22:00:00,1.0804,1.08042,1.07922,1.07924,21135,13,3170250000
2023-02-03 23:00:00,1.07924,1.07999,1.07917,1.0795,9163,13,1374450000
2023-02-06 00:00:00,1.07817,1.07911,1.07812,1.07871,2538,19,380700000
2023-02-06 01:00:00,1.07873,1.07975,1.0783800000000001,1.07884,17331,19,2599650000
2023-02-06 02:00:00,1.07884,1.07943,1.07807,1.07882,17431,13,2614650000
2023-02-06 03:00:00,1.07882,1.07936,1.07837,1.07846,16616,13,2492400000
2023-02-06 04:00:00,1.07845,1.07975,1.07817,1.07901,16663,13,2499450000
2023-02-06 05:00:00,1.07901,1.07978,1.07886,1.07895,13065,13,1959750000
2023-02-06 06:00:00,1.07895,1.07983,1.07882,1.07956,12739,13,1910850000
2023-02-06 07:00:00,1.07956,1.07975,1.07895,1.07962,13176,5,1976400000
